shell,alt_lower_km,alt_upper_km,alt_mid_km,S_maneuverable,D_non_maneuverable,volume_m3,density_per_km3,collision_rate_per_year,collision_prob_annual,satellite_cost_usd,marginal_risk_imposed,tax_congestion_usd_year,tax_pollution_usd_year,pigouvian_tax_usd_year,total_external_cost_usd_year
20,865.0,900.0,882.5,31,721,2.3186123803335664e+19,3.24331917822251e-08,0.00021927568928115988,0.00021925165012437464,1965673.501413128,9.492885140296779e-10,0.057845729593943455,155.86012763104804,155.91797336064198,4833.457174179902
21,900.0,935.0,917.5,20,536,2.341020021998439e+19,2.375033082909578e-08,0.00016144874751599305,0.0001614357153683077,1965528.8027399946,9.402021684798446e-10,0.03695988885091471,99.58510393023133,99.62206381908224,1992.441276381645
22,935.0,970.0,952.5,94,480,2.3635354202913477e+19,2.4285652547117078e-08,0.00014327442838090354,0.00014326416509014006,1965433.7692841701,9.312456594648154e-10,0.17204835666147675,463.5688583445141,463.7409067011756,43591.64522991051
23,970.0,1005.0,987.5,35,725,2.3861585752122933e+19,3.1850355961040175e-08,0.00021425415019159702,0.00021423119941033075,1965355.822818032,9.224165250383004e-10,0.06345068409916596,170.96217458736587,171.02562527146503,5985.896884501276
24,1005.0,1040.0,1022.5,32,279,2.408889486761248e+19,1.2910513400850925e-08,8.168924905941466e-05,8.168591258361779e-05,1965303.8941520092,9.137123613325048e-10,0.05746311877957118,154.82921712512672,154.88668024390628,4956.373767805001
25,1040.0,1075.0,1057.5,152,245,2.4317281549382115e+19,1.6325838033901757e-08,7.117259708656743e-05,7.117006437740159e-05,1965265.433480996,9.051308209217129e-10,0.27038099190062936,728.5173201627968,728.7877011546974,110775.73057551401
26,1075.0,1110.0,1092.5,57,295,2.4546745797431845e+19,1.433998636335849e-08,8.478369547275896e-05,8.478010143686543e-05,1965231.845507497,8.966696112394435e-10,0.10044332946967514,270.63553802025336,270.73598134972303,15431.950936934212
27,1110.0,1145.0,1127.5,5,185,2.4777287611762213e+19,7.668313133266599e-09,5.264707430095398e-05,5.2645688468078156e-05,1965202.5122038017,8.883264930471231e-10,0.008728707278966996,23.51871849665972,23.527447203938685,117.63723601969343
28,1145.0,1180.0,1162.5,225,128,2.500890699237212e+19,1.4114971122395205e-08,3.6283431060099065e-05,3.628277282441417e-05,1965176.8940228447,8.800992789524927e-10,0.3891489226748111,1048.5268520484067,1048.9160009710815,236006.10021849335
29,1180.0,1215.0,1197.5,480,141,2.5241603939262673e+19,2.4602240075324623e-08,3.980252498937219e-05,3.9801732879429785e-05,1965154.5199196867,8.719858319756044e-10,0.822521711526138,2216.2109431012273,2217.033464812753,1064176.0631101215
30,1215.0,1250.0,1232.5,120,106,2.5475378452433043e+19,8.871310800033109e-09,2.9439576493280018e-05,2.9439143153231484e-05,1965134.978643431,8.639840641611565e-10,0.2037414366568319,548.9630184281007,549.1667598647575,65900.0111837709
31,1250.0,1285.0,1267.5,0,328,2.5710230531884052e+19,1.2757567443560534e-08,8.994868849128307e-05,8.994464322931162e-05,1965117.911137606,8.560919352349243e-10,0.0,0.0,0.0,0.0
32,1285.0,1320.0,1302.5,2,111,2.5946160177614877e+19,4.3551723733476016e-09,3.0164008906001436e-05,3.0163553976891855e-05,1965103.0039077036,8.483074513031844e-10,0.0033340230415863513,8.983225908536404,8.986559931577991,17.973119863155983
33,1320.0,1355.0,1337.5,3,114,2.6183167389626065e+19,4.468519727157079e-09,3.0699649441888416e-05,3.0699178212523215e-05,1965089.9832326253,8.406286635931328e-10,0.004955732899335281,13.352777596855695,13.35773332975503,40.07319998926509
34,1355.0,1390.0,1372.5,1,108,2.6421252167917347e+19,4.1254668517321795e-09,2.8820222007988496e-05,2.8819806709434737e-05,1965078.6101125025,8.33053667233199e-10,0.0016370159425557378,4.410792560346787,4.412429576289342,4.412429576289342
35,1390.0,1425.0,1407.5,25,269,2.6660414512488722e+19,1.1027585481173953e-08,7.115956563447596e-05,7.115703385263128e-05,1965068.6758590876,8.255806000715484e-10,0.04055806441493871,109.28006510687136,109.3206231712863,2733.0155792821574
36,1425.0,1460.0,1442.5,2,314,2.690065442334046e+19,1.1746926116630879e-08,8.229966792963149e-05,8.22962814048811e-05,1965059.9982468802,8.182076415315501e-10,0.0032156542132671436,8.664291722402446,8.667507376615713,17.335014753231427
37,1460.0,1495.0,1477.5,36,334,2.7141971900472566e+19,1.3632023544816874e-08,8.679087773409914e-05,8.67871115148855e-05,1965052.4181535833,8.10933011502876e-10,0.05736693150771459,154.57004915242956,154.62741608393728,5566.586979021742
38,1495.0,1530.0,1512.5,2,226,2.738436694388421e+19,8.325918231639807e-09,5.818870539599334e-05,5.818701246607105e-05,1965045.7966275974,8.037549692669545e-10,0.003158830647753145,8.511185724161386,8.514344554809139,17.028689109618277
39,1530.0,1565.0,1547.5,1,151,2.762783955357677e+19,5.501696928029311e-09,3.8535143855562604e-05,3.853440138645858e-05,1965040.0123282005,7.966718124554601e-10,0.0015654919881690071,4.218077683420758,4.219643175408927,4.219643175408927
40,1565.0,1600.0,1582.5,1,170,2.7872389729548878e+19,6.135103651292396e-09,4.300328950963307e-05,4.3002364881417066e-05,1965034.9592909836,7.896818760410215e-10,0.0015517524931390962,4.181057846969906,4.182609599463045,4.182609599463045
